Rollup,Decentralization_Level,TPS,C_seq,N_seq,C_val,N_val,S_batch,T_interval_min
DeBank Chain,1,0.0339,37.9,1,37.9,1,1000,46.6
Optopia,1,0.0001,37.9,1,37.9,1,1000,46.6
Blast,2,4.3928,169.52,1,169.52,5,1000,46.6
Boba,2,0.0258,23.1,1,23.1,4,1000,46.6
Kinto,2,0.0553,169.52,1,169.52,5,1000,46.6
Lisk,2,4.2785,47.0,1,47.0,8,1000,46.6
Metal,2,0.003,41.9,1,41.9,8,1000,46.6
Mint,2,2.935,107.8,1,107.8,8,1000,46.6
Mode Network,2,0.59,37.9,1,37.9,6,1000,46.6
SuperLumio,2,2e-05,128.56,1,128.56,8,1000,46.6
Taiko,2,33.5035,103.82,1,103.82,1,1000,46.6
Zora,2,0.5868,37.9,1,37.9,6,1000,46.6
Arbitrum One,3,24.0302,431.5,1,431.5,14,1500,2.05
Base,4,97.359,431.5,1,431.5,14,1500,2.05
Fuel v1,4,0.0138,103.6,1,103.6,14,1500,2.05
Kroma,4,0.0019,62.86,1,62.86,14,1500,2.05
OP Mainnet,4,11.2588,218.67,1,218.67,14,1500,2.05
