rollup,status,calldata_eth,blob_eth,total_da_eth
Facet v1,active,0.2173981259119037,0.0,0.2173981259119037
Taiko,active,1.9453512589247601,0.0466084117601321,1.9919596706848923
Morph,active,0.2770709237927802,0.015179667117047808,0.292250590909828
Arbitrum One,active,2.5014341412303804,2.774773047082353,5.276207188312734
Metal,active,0.5862476892267449,1.416258619806843,2.002506309033588
Mode Network,active,0.080655396738441,0.19759449932745932,0.27824989606590034
Zora,active,0.039653936723667,0.09743255831969792,0.13708649504336493
DeBank Chain,active,0.015044985030054,0.05701632,0.07206130503005401
Boba,active,0.029532406846215,0.11589290964339917,0.14542531648961418
Unichain,active,0.3560214277811729,2.5669263627363286,2.9229477905175014
Lisk,active,0.010193411783898,0.082968576,0.093161987783898
Base,active,3.417290228158987,34.228673448881686,37.645963677040676
Ink,active,0.14575754538389102,2.1123222442758633,2.2580797896597544
OP Mainnet,active,0.31363602191964024,4.833872259109356,5.147508281028996
Blast,active,0.010430331402771,0.988054686717182,0.998485018119953
Mint,defunct,0.003125985369255,0.017170432,0.020296417369255
Optopia,defunct,0.0,0.0,0.0
