Rollup,Sequencer,Validator,DA Gas,L2 Fee,Net Profit
DeBank Chain,1.67,2.39,7.22,5.16,6.77
Optopia,1.67,10.00,1.09,9.99,1.32
Blast,1.67,3.52,5.22,1.00,2.72
Mode Network,1.83,3.67,6.25,4.95,4.46
Lisk,1.00,3.17,5.41,6.09,1.00
Taiko,3.79,3.94,7.75,8.94,3.69
Zora,1.75,4.02,5.71,5.22,3.20
Boba,1.67,3.49,5.75,4.81,2.90
Metal,3.79,4.68,7.76,3.30,10.00
Mint,1.57,8.03,1.00,9.15,1.00
Morph,8.73,7.55,6.29,8.93,9.59
Arbitrum One,10.00,2.09,8.50,9.28,8.17
Base,9.84,1.83,10.00,10.00,10.00
OP Mainnet,2.88,1.00,8.48,7.27,6.17
Ink,3.79,2.23,7.85,6.94,4.36
Unichain,2.26,1.47,8.05,5.63,7.22
Facet v1,1.59,4.90,6.06,5.06,4.25
